ARTIST,ALBUM,SONG_NAME,DATE,TIME_gmt,TIME_ist
ODESZA,Loyal,Loyal,16-11-2019,0:34:00,06:04:00
SWØRN,Escapade,Far Away,16-11-2019,0:39:00,06:09:00
Parimal Shais,Kumari Kandam Traps Vol. I,Pharmaceutical,16-11-2019,0:39:00,06:09:00
The Weeknd,After Hours,Blinding Lights,06-11-2021,0:41:00,06:11:00
Temples,Paraphernalia,Paraphernalia,06-11-2021,0:45:00,06:15:00
The Weeknd,After Hours,Blinding Lights,06-11-2021,0:45:00,06:15:00
Poets of the Fall,Carnival of Rust,Carnival of Rust,28-12-2019,0:46:00,06:16:00
SWØRN,Escapade,Far Away,16-11-2019,0:47:00,06:17:00
Siames,Home,Summer Nights,06-11-2021,0:50:00,06:20:00
Poets of the Fall,Carnival of Rust,Carnival of Rust,28-12-2019,0:50:00,06:20:00
Logic,Bobby Tarantino II,Everyday,16-11-2019,0:50:00,06:20:00
Fall Out Boy,American Beauty/American Psycho,Centuries,28-12-2019,0:51:00,06:21:00
Keiichi Okabe,NieR:Automata Original Soundtrack,Song of the Ancients (Atonement),06-11-2021,0:53:00,06:23:00
Logic,Confessions of a Dangerous Mind,Keanu Reeves,16-11-2019,0:54:00,06:24:00
The Game,El Chapo - Single,The Game & Skrillex: El Chapo,16-11-2019,0:57:00,06:27:00
Nujabes,Metaphorical Music,Letter From Yokosuka,06-11-2021,0:58:00,06:28:00
Keiichi Okabe,NieR:Automata Original Soundtrack,Song of the Ancients (Atonement),06-11-2021,0:58:00,06:28:00
Eagles,Hell Freezes Over,Hotel California - Live On MTV 1994,28-12-2019,0:59:00,06:29:00
Taylor Davis,Gaming Fantasy,Sadness and Sorrow (Naruto),16-11-2019,1:00:00,06:30:00
Daft Punk,Random Access Memories,Beyond,06-11-2021,1:02:00,06:32:00
Kozo Murashita,??????????????? ???,??,06-11-2021,1:07:00,06:37:00
Lorde,Pure Heroine,Royals,28-12-2019,1:07:00,06:37:00
?????,WHITE ALBUM2 Original Soundtrack ~kazusa~,?????,06-11-2021,1:10:00,06:40:00
ASIAN KUNG-FU GENERATION,Sol-fa,Rewrite,28-12-2019,1:10:00,06:40:00
Eminem,Relapse: Refill,Beautiful,16-11-2019,1:10:00,06:40:00
Bruce Faulconer,The Best of DragonBall Z - Volume I,The Dragon Theme,28-12-2019,1:14:00,06:44:00
The Chain Gang of 1974,Daydream Forever,Sleepwalking,06-11-2021,1:15:00,06:45:00
Teminite,Unstoppable EP,Unstoppable,16-11-2019,1:15:00,06:45:00
Nivro,Hatred,Hatred,16-11-2019,1:18:00,06:48:00
The Chain Gang of 1974,Daydream Forever,Sleepwalking,06-11-2021,1:19:00,06:49:00
Mabanua,MEGALOBOX2ORIGINAL SOUNDTRACK,El canto del Colibrí,06-11-2021,1:19:00,06:49:00
Santana,Dar um Jeito (We Will Find a Way) [The Official 2014 FIFA World Cup Anthem],Dar um Jeito (We Will Find a Way) [The Official 2014 FIFA World Cup Anthem],28-12-2019,1:19:00,06:49:00
Peach Pit,Being so Normal,Alrighty Aphrodite,06-11-2021,1:21:00,06:51:00
Mabanua,MEGALOBOX2ORIGINAL SOUNDTRACK,El canto del Colibrí,06-11-2021,1:21:00,06:51:00
Metric,Fantasies,Satellite Mind,28-12-2019,1:22:00,06:52:00
RUDE,Eternal Youth,Forever Lotus,16-11-2019,1:22:00,06:52:00
Aqua Dulovic,Super Stories,Super Stories,16-09-2020,1:26:00,06:56:00
Awolnation,Megalithic Symphony,Sail,28-12-2019,1:26:00,06:56:00
Porter Robinson,Shelter,Shelter,16-11-2019,1:26:00,06:56:00
Aqua Dulovic,Super Stories,Loxodrome,16-09-2020,1:27:00,06:57:00
Mabanua,MEGALOBOX2ORIGINAL SOUNDTRACK,Determination,06-11-2021,1:28:00,06:58:00
Enric Lerimore,Selling All My Sympathy,Motion Of Your Guy,16-09-2020,1:30:00,07:00:00
Far East Movement,Free Wired,Rocketeer,28-12-2019,1:30:00,07:00:00
PewDiePie,Mine All Day,Mine All Day,16-11-2019,1:30:00,07:00:00
Greygori Pearl,Mysterious Virtues,Mysterious Virtues,16-09-2020,1:32:00,07:02:00
Bring Me the Horizon,Sempiternal (Expanded Edition),Can You Feel My Heart,06-11-2021,1:33:00,07:03:00
Greygori Pearl,Mysterious Virtues,Game Of Heaven,16-09-2020,1:33:00,07:03:00
Owl City,Ocean Eyes,Fireflies,28-12-2019,1:34:00,07:04:00
Pathophobia,Pyknometer,Pyknometer,16-09-2020,1:35:00,07:05:00
?? ?,TWISTED HEARTS,TWISTED HEARTS,06-11-2021,1:36:00,07:06:00
Eminem,Just Lose It,Lose Yourself - From 8 Mile Soundtrack,16-11-2019,1:36:00,07:06:00
Pathophobia,Pyknometer,Adnomination,16-09-2020,1:37:00,07:07:00
Legislatorship,Timing Without Rules,Timing Without Rules,16-09-2020,1:38:00,07:08:00
The Weeknd,Starboy,Starboy,28-12-2019,1:38:00,07:08:00
Legislatorship,Timing Without Rules,Cheap Battle,16-09-2020,1:40:00,07:10:00
Magic Man,Before The Waves,Waves,06-11-2021,1:41:00,07:11:00
Paurnteich Brollinie,Taming The Lazer,Taming The Lazer,16-09-2020,1:42:00,07:12:00
Yuki Hayashi,?????????????2018 ?????????????,2 Heros,28-12-2019,1:42:00,07:12:00
Parimal Shais,Kumari Kandam Traps Vol. I,Pharmaceutical,16-11-2019,1:42:00,07:12:00
Absofacto,Thousand Peaces,Dissolve,06-11-2021,1:43:00,07:13:00
UVERworld,Touch off (short ver.),Touch off (short ver.),06-11-2021,1:43:00,07:13:00
Paurnteich Brollinie,Taming The Lazer,Hardcore Monster,16-09-2020,1:43:00,07:13:00
SWØRN,Escapade,Far Away,16-11-2019,1:44:00,07:14:00
Dryelvin Palick,Smiles Unlocked,Smiles Unlocked,16-09-2020,1:45:00,07:15:00
The Weeknd,Beauty Behind the Madness,The Hills,28-12-2019,1:45:00,07:15:00
Yaws Wanpo,Expensive Creativity,Expensive Creativity,16-09-2020,1:46:00,07:16:00
Temples,Paraphernalia,Paraphernalia,29-12-2021,1:48:00,07:18:00
Yaws Wanpo,Expensive Creativity,Strange Power,16-09-2020,1:48:00,07:18:00
Rosra Masowald,Taming Heaven,Taming Heaven,16-09-2020,1:49:00,07:19:00
deadmau5,> album title goes here <,Professional Griefers,28-12-2019,1:49:00,07:19:00
Jake Yavoog,Hollywood Disaster,Hollywood Disaster,16-09-2020,1:51:00,07:21:00
The Killers,Hits Rock y Alternativo 2020,Caution,29-12-2021,1:52:00,07:22:00
Jake Yavoog,Hollywood Disaster,Parrrucky,16-09-2020,1:52:00,07:22:00
RADWIMPS,Weathering With You,Fireworks Festival,28-12-2019,1:53:00,07:23:00
Jungle,Talk About It,Talk About It,08-11-2021,1:54:00,07:24:00
Post Malone,Only Wanna Be With You (Pokémon 25 Version),Only Wanna Be With You - Pokémon 25 Version,18-03-2021,1:54:00,07:24:00
Krystah Antilles,American Emotion,American Emotion,16-09-2020,1:54:00,07:24:00
????,TV???????????????????????????????2,Allied Force,28-12-2019,1:56:00,07:26:00
Logic,Bobby Tarantino II,Everyday,16-11-2019,1:56:00,07:26:00
MONORAL,Turbulence (International),kiri,29-12-2021,1:57:00,07:27:00
Siames,Home,Summer Nights,08-11-2021,1:57:00,07:27:00
Wylied Spry,Vintage Dynamite,Loose Ghost,16-09-2020,1:57:00,07:27:00
Telo Richardson,Sacrifice War,Xenology,16-09-2020,1:59:00,07:29:00
???,Steins;Gate Original Soundtrack,GATE OF STEINER -Main theme-,28-12-2019,2:00:00,07:30:00
ODESZA,A Moment Apart,A Moment Apart,29-12-2021,2:01:00,07:31:00
The Weeknd,After Hours,After Hours,06-11-2021,2:01:00,07:31:00
Shakti Nezuma,Renegade Chick,Renegade Chick,16-09-2020,2:01:00,07:31:00
Shakti Nezuma,Renegade Chick,Gymnophobia,16-09-2020,2:03:00,07:33:00
Luciace Magihart,Plenty Of Ideas,Plenty Of Ideas,16-09-2020,2:04:00,07:34:00
Sash!,Ecuador,Ecuador - Original Radio Edit,28-12-2019,2:04:00,07:34:00
MISSIO,Sing To Me,Sing To Me,29-12-2021,2:05:00,07:35:00
Daft Punk,Random Access Memories,Beyond,08-11-2021,2:06:00,07:36:00
Luciace Magihart,Plenty Of Ideas,Beat Of The Full Moon,16-09-2020,2:06:00,07:36:00
BURNOUT SYNDROMES,BLIZZARD,BLIZZARD,29-12-2021,2:08:00,07:38:00
Ted Wepp,California Defects,California Defects,16-09-2020,2:08:00,07:38:00
Robert Miles,Hits Of The 90s,Children,28-12-2019,2:08:00,07:38:00
Ted Wepp,California Defects,Brazen Answers,16-09-2020,2:09:00,07:39:00
You Me at Six,VI,Back Again,08-03-2021,2:10:00,07:40:00
Paurnteich Brollinie,Bad Rainbow,Bad Rainbow,16-09-2020,2:11:00,07:41:00
8 Graves,Black,Numb,29-12-2021,2:12:00,07:42:00
Paurnteich Brollinie,Bad Rainbow,Brazen Regrets,16-09-2020,2:12:00,07:42:00
Hans Zimmer,Crysis 2,Crysis 2 Intro,28-12-2019,2:12:00,07:42:00
Welshly Arms,Legendary,Legendary,28-12-2019,2:13:00,07:43:00
Alish Villar,Explosive Renegade,Explosive Renegade,16-09-2020,2:14:00,07:44:00
Daft Punk,Random Access Memories,Beyond,08-03-2021,2:15:00,07:45:00
Alish Villar,Explosive Renegade,Lace Implosion,16-09-2020,2:15:00,07:45:00
Cécile Corbel,Arrietty Soundtrack,Arrietty's Song,29-12-2021,2:16:00,07:46:00
Ayva Thorn,Think for Two,Think for Two,16-09-2020,2:17:00,07:47:00
Rhye,Woman,Open,08-03-2021,2:18:00,07:48:00
Babolda Nermtrine,True Look,True Look,16-09-2020,2:19:00,07:49:00
Jungle,Talk About It,Talk About It,29-12-2021,2:20:00,07:50:00
Speck Joliet,Sophomore,Time Frame,06-11-2021,2:20:00,07:50:00
Babolda Nermtrine,True Look,Outrageous Samba,16-09-2020,2:20:00,07:50:00
Okta Logue,Tales Of Transit City,Transit,05-10-2021,2:21:00,07:51:00
Gregbard Masis,Fruity Declarations,Fruity Declarations,16-09-2020,2:22:00,07:52:00
???????????,???·??-?????4?????-,specialist,29-12-2021,2:23:00,07:53:00
Swedish House Mafia,Moth to a Flame,Moth to a Flame (with The Weeknd),06-11-2021,2:23:00,07:53:00
Risking Nostalgia,Risking Nostalgia - EP,Hunger,08-03-2021,2:24:00,07:54:00
Ceth Drayen,Fruity Forgiveness,Fruity Forgiveness,16-09-2020,2:24:00,07:54:00
Ceth Drayen,Fruity Forgiveness,Radiosonde,16-09-2020,2:25:00,07:55:00
Casper Caan,Last Chance,Last Chance,29-12-2021,2:27:00,07:57:00
Coyomsiso,Futuristic Ghost,Super Politeness,16-09-2020,2:27:00,07:57:00
The Game,The Documentary 2.5,The Game & Skrillex: El Chapo,06-11-2021,2:28:00,07:58:00
Risking Nostalgia,Risking Nostalgia - EP,Hunger,05-10-2021,2:28:00,07:58:00
Meltt,Swim Slowly,On Your Own,08-03-2021,2:28:00,07:58:00
SawanoHiroyuki[nZk]:mizuki,Avid,Avid,29-12-2021,2:31:00,08:01:00
Kendrick Lamar,good kid m.A.A.d city,m.A.A.d city,06-11-2021,2:32:00,08:02:00
Meltt,Swim Slowly,On Your Own,05-10-2021,2:33:00,08:03:00
Foster the People,Lamb's Wool,Lamb's Wool,08-03-2021,2:33:00,08:03:00
Norman Dück,A New Day,A New Day,26-08-2021,2:35:00,08:05:00
Nujabes,Luv(sic) hexalogy,Luv (Sic) Instrumentals,29-12-2021,2:36:00,08:06:00
Kadhja Bonet,Childqueen,Wings,05-10-2021,2:36:00,08:06:00
The Chain Gang of 1974,The Music of Grand Theft Auto V Vol. 1: Original Music,Sleepwalking,08-03-2021,2:36:00,08:06:00
Avicii,TRUE,Wake Me Up,06-11-2021,2:38:00,08:08:00
Jungle,Talk About It,Talk About It,06-11-2021,2:38:00,08:08:00
Jerry Izo,Quench,Quench,25-08-2021,2:39:00,08:09:00
Bertholet,Family at Work,The Ceremony,02-02-2020,2:39:00,08:09:00
Absofacto,Thousand Peaces,Dissolve,29-12-2021,2:40:00,08:10:00
MISSIO,Sing To Me,Sing To Me,05-10-2021,2:40:00,08:10:00
Hikaru Utada,Face my Fears,Face My Fears (English Version),08-03-2021,2:40:00,08:10:00
the sharp shooter,super sharp shots,counting stars,25-08-2021,2:41:00,08:11:00
Casper Caan,Last Chance,Last Chance,06-11-2021,2:43:00,08:13:00
meadowzz,subtopia,subtopia,25-08-2021,2:43:00,08:13:00
Terrence Woods,Opus II,Opus II,24-08-2021,2:43:00,08:13:00
Honors,Feel Better,Over,29-12-2021,2:44:00,08:14:00
The Weeknd,After Hours,After Hours,26-12-2021,2:44:00,08:14:00
Gorillaz,Song Machine Season One: Strange Timez (Deluxe),How Far? (feat. Tony Allen and Skepta),05-10-2021,2:44:00,08:14:00
Obie Hans,Floating Between,Floating Between,24-08-2021,2:45:00,08:15:00
Welshly Arms,Legendary,Legendary,02-02-2020,2:45:00,08:15:00
The Weeknd,Heartless,Heartless,05-10-2021,2:46:00,08:16:00
Nickelback,All The Right Reasons (Special Edition),Rockstar,06-11-2021,2:47:00,08:17:00
Jungle,Talk About It,Talk About It,11-10-2021,2:47:00,08:17:00
French Connection,Amoureuse,Au revoir,25-08-2021,2:47:00,08:17:00
PartIka,A Slight Return,A Slight Return,24-08-2021,2:47:00,08:17:00
Daft Punk,Random Access Memories,Get Lucky (feat. Pharrell Williams),28-12-2019,2:47:00,08:17:00
Dustin Pierce,Open Mind,Open Mind,25-08-2021,2:48:00,08:18:00
PlayaPhonk,Keraunos,KERAUNOS,07-03-2021,2:48:00,08:18:00
Kotaro Nakagawa,CODE GEASS Lelouch of the Rebellion R2 Original Motion Picture Soundtrack 1,Madder Sky,29-12-2021,2:49:00,08:19:00
Hippie Sabotage,Drifter,DRIFTER,26-12-2019,2:49:00,08:19:00
Keigo Hoashi,NieR:Automata Original Soundtrack,The Sound of the End,26-12-2021,2:50:00,08:20:00
Giant Rooks,Rookery,All We Are,05-10-2021,2:50:00,08:20:00
Siames,Home,Summer Nights,11-10-2021,2:51:00,08:21:00
Sakloma24,kyoto,mt. fuji,25-08-2021,2:51:00,08:21:00
Omri,Redo Undo,Redo Undo,05-08-2021,2:51:00,08:21:00
The Weeknd,Take My Breath,Take My Breath,29-12-2021,2:52:00,08:22:00
Metric,Fantasies,Satellite Mind,06-11-2021,2:52:00,08:22:00
Honors,Feel Better,Valleys,06-01-2020,2:52:00,08:22:00
Welshly Arms,Legendary,Legendary,05-10-2021,2:53:00,08:23:00
Vanilla Beach,Willow Whip,Willow Whip,25-08-2021,2:53:00,08:23:00
Evanescence,Fallen,Bring Me to Life,28-12-2019,2:53:00,08:23:00
blackbear,hot girl bummer,hot girl bummer,26-12-2019,2:53:00,08:23:00
Sir Sly,You Haunt Me,Where I'm Going,07-03-2021,2:54:00,08:24:00
The Revivalists,Take Good Care,Change,19-12-2020,2:54:00,08:24:00
The Weeknd,Starboy,False Alarm,23-12-2019,2:54:00,08:24:00
Mabanua,MEGALOBOX2ORIGINAL SOUNDTRACK,El canto del Colibrí,06-11-2021,2:55:00,08:25:00
The Chain Gang of 1974,Daydream Forever,Sleepwalking,05-08-2021,2:55:00,08:25:00
Honors,Feel Better,Over,06-05-2021,2:55:00,08:25:00
Honors,Feel Better,Over,23-12-2019,2:55:00,08:25:00
Joji,Gimme Love,Run,26-12-2021,2:56:00,08:26:00
MISSIO,Sing To Me,Sing To Me,06-11-2021,2:56:00,08:26:00
rwethree,mellow,mellow,25-08-2021,2:56:00,08:26:00
Keys N Krates,Solow,I Just Can't Deny,17-07-2021,2:56:00,08:26:00
Mansionair,Shadowboxer,Easier,26-12-2019,2:56:00,08:26:00
Siames,Home,Summer Nights,05-10-2021,2:57:00,08:27:00
The Weeknd,My Dear Melancholy,Call Out My Name,26-07-2021,2:57:00,08:27:00
Honors,Feel Better,Valleys,20-05-2021,2:57:00,08:27:00
Oasis,(What's the Story) Morning Glory? [Remastered],Wonderwall - Remastered,18-05-2021,2:57:00,08:27:00
Sir Sly,You Haunt Me,Where I'm Going,20-01-2021,2:57:00,08:27:00
The Weeknd,Heartless,Heartless,19-12-2020,2:57:00,08:27:00
The Weeknd,After Hours,After Hours,24-09-2020,2:57:00,08:27:00
Hiboky,Opposite Life,Opposite Life,06-01-2020,2:57:00,08:27:00
Aimer,DAWN,Brave Shine,28-12-2019,2:57:00,08:27:00
Fableistic,Yogurt,Feathers,25-08-2021,2:58:00,08:28:00
Absofacto,Thousand Peaces,Dissolve,24-07-2021,2:58:00,08:28:00
The Chain Gang of 1974,Daydream Forever,Sleepwalking,17-05-2021,2:58:00,08:28:00
Magic Man,Before The Waves,Waves,07-05-2021,2:58:00,08:28:00
Giant Rooks,Rookery,All We Are,07-01-2021,2:58:00,08:28:00
Dido,No Angel,Thank You,29-12-2021,2:59:00,08:29:00
Keiichi Okabe,NieR:Automata Original Soundtrack,Song of the Ancients (Atonement),29-12-2021,2:59:00,08:29:00
Siames,Home,Summer Nights,26-12-2021,2:59:00,08:29:00
MISSIO,Sing To Me,Sing To Me,06-11-2021,2:59:00,08:29:00
Stepdad,Wildlife Pop,Jungles,09-10-2021,2:59:00,08:29:00
Sir Sly,Don't You Worry Honey,Astronaut,21-01-2021,2:59:00,08:29:00
Kloud,ERROR,ERROR,11-01-2021,2:59:00,08:29:00
Neon Indian,Era Extraña,Polish Girl,24-12-2020,2:59:00,08:29:00
ufo ufo,Strange Clouds,Strange Clouds,06-11-2021,3:00:00,08:30:00
Absofacto,Thousand Peaces,Dissolve,04-08-2021,3:00:00,08:30:00
Tame Impala,The Slow Rush,Posthumous Forgiveness,09-01-2021,3:00:00,08:30:00
Mansionair,Shadowboxer,Easier,23-12-2019,3:00:00,08:30:00
Joji,Gimme Love,Run,05-10-2021,3:01:00,08:31:00
Collagen,Cloudcatchers,Cloudcatchers,25-08-2021,3:01:00,08:31:00
League of Legends,Legends Never Die,Legends Never Die,08-01-2021,3:01:00,08:31:00
Rhye,Woman,Open,02-01-2021,3:01:00,08:31:00
The Weeknd,Heartless,Heartless,26-12-2020,3:01:00,08:31:00
Kendrick Lamar,DAMN.,LOYALTY. FEAT. RIHANNA.,06-01-2020,3:01:00,08:31:00
Shakira,Shakira. (Expanded Edition),Can't Remember to Forget You (feat. Rihanna),28-12-2019,3:01:00,08:31:00
Pouya,1000 Rounds,1000 Rounds,26-12-2019,3:01:00,08:31:00
ufo ufo,Strange Clouds,Strange Clouds,26-12-2021,3:02:00,08:32:00
Honors,Feel Better,Over,25-12-2021,3:02:00,08:32:00
Freja,minnen,minnen,25-08-2021,3:02:00,08:32:00
Meltt,Swim Slowly,On Your Own,06-11-2021,3:03:00,08:33:00
Magic Man,Before The Waves,Paris,26-12-2019,3:03:00,08:33:00
Joji,Daylight,Daylight,05-10-2021,3:04:00,08:34:00
Keys N Krates,Solow,I Just Can't Deny,05-05-2021,3:04:00,08:34:00
Tha J-Squad,Hood Naruto,Hood Naruto,28-12-2019,3:04:00,08:34:00
Hippie Sabotage,Drifter,DRIFTER,23-12-2019,3:04:00,08:34:00
Louk,Dinner is Ready,Dinner is Ready,25-08-2021,3:05:00,08:35:00
The Weeknd,My Dear Melancholy,Call Out My Name,12-08-2021,3:05:00,08:35:00
Omri,Redo Undo,Redo Undo,27-05-2021,3:05:00,08:35:00
Welshly Arms,Legendary,Legendary,07-03-2021,3:05:00,08:35:00
The Neighbourhood,I'm Sorry...,Wires,14-11-2020,3:05:00,08:35:00
Keys N Krates,Solow,I Just Can't Deny,06-01-2020,3:05:00,08:35:00
Bring Me the Horizon,Teardrops,Teardrops,29-12-2021,3:06:00,08:36:00
Cécile Corbel,Arrietty Soundtrack,Arrietty's Song,26-12-2021,3:06:00,08:36:00
ODESZA,A Moment Apart,A Moment Apart,25-12-2021,3:06:00,08:36:00
Swedish House Mafia,Moth to a Flame,Moth to a Flame (with The Weeknd),06-11-2021,3:07:00,08:37:00
The Weeknd,Starboy,I Feel It Coming,05-10-2021,3:07:00,08:37:00
Queen,A Night At The Opera (2011 Remaster),Bohemian Rhapsody - Remastered 2011,06-03-2021,3:07:00,08:37:00
You Me at Six,VI,Back Again,14-11-2020,3:07:00,08:37:00
The 5:55,The Five Fifty Five,The Edge,26-12-2019,3:07:00,08:37:00
Nothing?s Carved In Stone,Out Of Control,Out Of Control,29-12-2021,3:08:00,08:38:00
Orientale Pesetas,Cartine Per Rollare,Holken,25-08-2021,3:08:00,08:38:00
Porter Robinson,Shelter,Shelter,28-12-2019,3:08:00,08:38:00
???,Princess Mononoke Soundtrack,The Legend of Ashitaka (Ending),26-12-2021,3:09:00,08:39:00
Freddy Peterson,Underwater Cactus,Journey In,25-08-2021,3:09:00,08:39:00
Honors,Feel Better,Valleys,27-05-2021,3:09:00,08:39:00
Omri,Redo Undo,Redo Undo,27-05-2021,3:09:00,08:39:00
The Chain Gang of 1974,The Music of Grand Theft Auto V Vol. 1: Original Music,Sleepwalking,07-03-2021,3:09:00,08:39:00
8 Graves,Black,Numb,25-12-2021,3:10:00,08:40:00
Casper Caan,How We Are Who We Are,How We Are Who We Are,06-11-2021,3:11:00,08:41:00
Kendrick Lamar,DAMN.,HUMBLE.,05-10-2021,3:11:00,08:41:00
Diz,Crystal Ball,Crystal Ball,25-08-2021,3:11:00,08:41:00
J,Alleyways,Alleyways,14-11-2020,3:11:00,08:41:00
Enigma,MCMXC a.D.,Principles of Lust: Sadeness / Find Love / Sadeness (reprise),28-12-2019,3:12:00,08:42:00
Hundredth,Somewhere Nowhere,Bottle It Up,29-12-2021,3:13:00,08:43:00
The Weeknd,Starboy,I Feel It Coming,06-11-2021,3:13:00,08:43:00
Norman Dück,A New Day,A New Day,26-08-2021,3:13:00,08:43:00
8 Graves,Black,Numb,27-05-2021,3:13:00,08:43:00
Honors,Feel Better,Over,30-12-2019,3:13:00,08:43:00
Hiboky,Opposite Life,Opposite Life,30-12-2019,3:13:00,08:43:00
Dayglow,Fuzzybrain,Can I Call You Tonight?,25-12-2021,3:14:00,08:44:00
Benjamin August,Low-Key Into You,Low-Key Into You,25-08-2021,3:14:00,08:44:00
The Neighbourhood,I'm Sorry...,Wires,07-03-2021,3:14:00,08:44:00
Banners,Where The Shadow Ends,Got It In You,14-11-2020,3:14:00,08:44:00
???????????,???·??-?????4?????-,specialist,26-12-2021,3:15:00,08:45:00
Lucas Robbins,Raindrops,Raindrops,26-08-2021,3:15:00,08:45:00
???????????,????4 ?????·????????,A New World Fool,29-12-2021,3:16:00,08:46:00
Sting,Arcane League of Legends (Soundtrack from the Animated Series),What Could Have Been feat. Ray Chen (from the series Arcane League of Legends),24-12-2021,3:16:00,08:46:00
Dylan Sitts,Ginger Chews,Brontosaurus,25-08-2021,3:16:00,08:46:00
Peach Pit,Being so Normal,Alrighty Aphrodite,27-05-2021,3:17:00,08:47:00
Tom Stannard,Forever & Always,Forever & Always,26-08-2021,3:18:00,08:48:00
The Weeknd,After Hours,In Your Eyes,14-11-2020,3:18:00,08:48:00
Mansionair,Shadowboxer,Easier,30-12-2019,3:18:00,08:48:00
Diamante Eléctrico,Suéltame Bogotá,Suéltame Bogotá,26-12-2021,3:19:00,08:49:00
Welshly Arms,No Place Is Home,Legendary,25-12-2021,3:19:00,08:49:00
Temples,Paraphernalia,Paraphernalia,05-06-2021,3:19:00,08:49:00
Poets of the Fall,Carnival of Rust,Carnival of Rust,02-02-2020,3:19:00,08:49:00
Karen LeFrak,Muse (Single),Muse (Single),26-08-2021,3:20:00,08:50:00
The Weeknd,After Hours,Blinding Lights,23-06-2021,3:20:00,08:50:00
Speck Joliet,Sophomore,Time Frame,29-12-2021,3:21:00,08:51:00
The Weeknd,Take My Breath,Take My Breath,06-11-2021,3:21:00,08:51:00
Peach Pit,Being so Normal,Alrighty Aphrodite,10-07-2021,3:21:00,08:51:00
The Weeknd,My Dear Melancholy,Call Out My Name,27-05-2021,3:21:00,08:51:00
Sabine Paulet,une nouvelle année,une nouvelle année,26-08-2021,3:22:00,08:52:00
Foster the People,Lamb's Wool,Lamb's Wool,15-07-2021,3:22:00,08:52:00
The Chain Gang of 1974,Daydream Forever,Sleepwalking,23-06-2021,3:22:00,08:52:00
The Weeknd,After Hours,Save Your Tears,14-11-2020,3:22:00,08:52:00
The 5:55,The Five Fifty Five,The Edge,30-12-2019,3:22:00,08:52:00
SMLE,Chasing Channels,Haunted,26-12-2019,3:22:00,08:52:00
Mabanua,MEGALOBOX2ORIGINAL SOUNDTRACK,Determination,26-12-2021,3:23:00,08:53:00
Welshly Arms,No Place Is Home,Legendary,11-10-2021,3:23:00,08:53:00
Honors,Feel Better,Over,14-07-2021,3:23:00,08:53:00
Honors,Feel Better,Over,10-07-2021,3:23:00,08:53:00
The Reputations,Electric Power,Electric Power,26-06-2021,3:23:00,08:53:00
Honors,Feel Better,Valleys,15-06-2021,3:23:00,08:53:00
Gorillaz,Humanz (Deluxe),Saturnz Barz (feat. Popcaan),14-06-2021,3:23:00,08:53:00
Beach House,Depression Cherry,Space Song,10-06-2021,3:23:00,08:53:00
Okta Logue,Tales Of Transit City,Transit,09-06-2021,3:23:00,08:53:00
Honors,Feel Better,Over,09-06-2021,3:23:00,08:53:00
Thalia Havenstein,Interstellar Seasons,Interstellar Seasons,26-08-2021,3:24:00,08:54:00
Absofacto,Thousand Peaces,Dissolve,05-06-2021,3:24:00,08:54:00
Beach House,Depression Cherry,Space Song,28-05-2021,3:24:00,08:54:00
Magic Man,Before The Waves,Waves,27-05-2021,3:24:00,08:54:00
Owl City,Ocean Eyes,Fireflies,02-02-2020,3:24:00,08:54:00
8 Graves,Black,Numb,26-12-2021,3:25:00,08:55:00
Kadhja Bonet,Childqueen,Wings,06-11-2021,3:25:00,08:55:00
ufo ufo,Strange Clouds,Strange Clouds,05-10-2021,3:25:00,08:55:00
8 Graves,Black,Numb,22-07-2021,3:25:00,08:55:00
Oasis,(What's the Story) Morning Glory? [Remastered],Wonderwall - Remastered,13-07-2021,3:25:00,08:55:00
Honors,Feel Better,Over,29-06-2021,3:25:00,08:55:00
Temples,Paraphernalia,Paraphernalia,15-06-2021,3:25:00,08:55:00
The Weeknd,After Hours,After Hours,08-06-2021,3:25:00,08:55:00
Corpse,White Tee,WHITE TEE,26-10-2020,3:25:00,08:55:00
MISSIO,Sing To Me,Sing To Me,09-02-2020,3:25:00,08:55:00
Okta Logue,Transit EP,Transit,29-12-2021,3:26:00,08:56:00
Five Finger Death Punch,War Is the Answer,Far From Home,25-12-2021,3:26:00,08:56:00
Absofacto,Thousand Peaces,Dissolve,15-07-2021,3:26:00,08:56:00
The Weeknd,After Hours,After Hours,09-07-2021,3:26:00,08:56:00
The Weeknd,After Hours,Blinding Lights,26-06-2021,3:26:00,08:56:00
The Weeknd,My Dear Melancholy,Call Out My Name,23-06-2021,3:26:00,08:56:00
Temples,Paraphernalia,Paraphernalia,21-06-2021,3:26:00,08:56:00
The Weeknd,After Hours,After Hours,14-06-2021,3:26:00,08:56:00
The Weeknd,After Hours,Blinding Lights,10-06-2021,3:26:00,08:56:00
MISSIO,Sing To Me,Sing To Me,14-11-2020,3:26:00,08:56:00
Cuisse Hollieb,Circle Of Secrets,Nice Daggers,16-09-2020,3:26:00,08:56:00
Magic Man,Before The Waves,Paris,30-12-2019,3:26:00,08:56:00
Slash,Slash,Starlight,28-12-2019,3:26:00,08:56:00
Lunete Guillory,Espérer,Espérer,26-08-2021,3:27:00,08:57:00
Magic Man,Before The Waves,Waves,20-07-2021,3:27:00,08:57:00
8 Graves,Black,Numb,14-07-2021,3:27:00,08:57:00
Foster the People,Lamb's Wool,Lamb's Wool,22-06-2021,3:27:00,08:57:00
